
stoping.. 	current floor is 1		The door is opening..
stopped		current floor is 1		waiting....
stopped		current floor is 1		the door is closing..

UP		current floor is 2	 target floor is 2		running...

stoping.. 	current floor is 2		The door is opening..
stopped		current floor is 2		waiting....
stopped		current floor is 2		the door is closing..

UP		current floor is 3	 target floor is 6		running...
UP		current floor is 4	 target floor is 6		running...
UP		current floor is 5	 target floor is 6		running...
UP		current floor is 6	 target floor is 6		running...

stoping.. 	current floor is 6		The door is opening..
stopped		current floor is 6		waiting....
stopped		current floor is 6		the door is closing..

DOWN		current floor is 5		target floor is 4 		running...
DOWN		current floor is 4		target floor is 4 		running...

stoping.. 	current floor is 4		The door is opening..
stopped		current floor is 4		waiting....
stopped		current floor is 4		the door is closing..

UP		current floor is 5	 target floor is 8		running...
UP		current floor is 6	 target floor is 8		running...
UP		current floor is 7	 target floor is 8		running...
UP		current floor is 8	 target floor is 8		running...

stoping.. 	current floor is 8		The door is opening..
stopped		current floor is 8		waiting....
stopped		current floor is 8		the door is closing..

stopped		current floor is 8		IDLE..


stoping.. 	current floor is 1		The door is opening..
stopped		current floor is 1		waiting....
stopped		current floor is 1		the door is closing..

UP		current floor is 2	 target floor is 2		running...

stoping.. 	current floor is 2		The door is opening..
stopped		current floor is 2		waiting....
stopped		current floor is 2		the door is closing..

UP		current floor is 3	 target floor is 6		running...
UP		current floor is 4	 target floor is 6		running...
UP		current floor is 5	 target floor is 6		running...
UP		current floor is 6	 target floor is 6		running...

stoping.. 	current floor is 6		The door is opening..
stopped		current floor is 6		waiting....
stopped		current floor is 6		the door is closing..

DOWN		current floor is 5		target floor is 4 		running...
DOWN		current floor is 4		target floor is 4 		running...

stoping.. 	current floor is 4		The door is opening..
stopped		current floor is 4		waiting....
stopped		current floor is 4		the door is closing..


stoping.. 	current floor is 1		The door is opening..
stopped		current floor is 1		waiting....

stoping.. 	current floor is 1		The door is opening..
stopped		current floor is 1		waiting....
stopped		current floor is 1		the door is closing..

UP		current floor is 2	 target floor is 2		running...

stoping.. 	current floor is 1		The door is opening..
stopped		current floor is 1		waiting....
stopped		current floor is 1		the door is closing..

UP		current floor is 2	 target floor is 2		running...

stoping.. 	current floor is 2		The door is opening..
stopped		current floor is 2		waiting....
stopped		current floor is 2		the door is closing..

UP		current floor is 3	 target floor is 6		running...
UP		current floor is 4	 target floor is 6		running...
UP		current floor is 5	 target floor is 6		running...
UP		current floor is 6	 target floor is 6		running...

stoping.. 	current floor is 6		The door is opening..
stopped		current floor is 6		waiting....
